book_title,book_link
Как достать профессора,https://www.litres.ru/book/ulyana-romanova/kak-dostat-professora-69086512/
Последний бастион,https://www.litres.ru/book/aleksandr-afanasev-27750787/posledniy-bastion-69025711/
Процент совпадения,https://www.litres.ru/book/elena-fili/procent-sovpadeniya-68799126/
Академия Магических Путей. Прибытие,https://www.litres.ru/book/polina-korn/akademiya-magicheskih-putey-pribytie-68795217/
Так целует ужасное чудовище…,https://www.litres.ru/book/ekaterina-udina-31978080/tak-celuet-uzhasnoe-chudovische-68768238/
Аукцион избранников,https://www.litres.ru/book/terin-rem-32036048/aukcion-izbrannikov-68743641/
Путь одарённого. Мастер ассасин. Книга пятая. Часть вторая,https://www.litres.ru/book/uriy-moskalenko/put-odarennogo-master-assasin-kniga-pyataya-chast-vtoraya-68620850/
Выживальщики 8. Реактор,https://www.litres.ru/book/konstantin-denisov/vyzhivalschiki-8-reaktor-68495018/
Мне нельзя тебя хотеть,https://www.litres.ru/book/liza-bett/mne-nelzya-tebya-hotet-68059835/
Бастард ее величества,https://www.litres.ru/book/ninel-nuar/bastard-ee-velichestva-67955522/
Ключи к Тайнику,https://www.litres.ru/book/mariya-kartasheva/kluchi-k-tayniku-67935953/
"Истинная поневоле, или Сирота в Академии Драконов",https://www.litres.ru/book/aleks-nayt-26809918/istinnaya-ponevole-ili-sirota-v-akademii-drakonov-67914842/
Дисгардиум 11. Вне игры,https://www.litres.ru/book/daniyar-sugralinov/disgardium-11-vne-igry-67671419/
Дисгардиум 10. Явная угроза,https://www.litres.ru/book/daniyar-sugralinov/disgardium-10-yavnaya-ugroza-67292990/
Эпицентр,https://www.litres.ru/book/pavel-kornev/epicentr-66486442/
Инквизитор. Башмаки на флагах. Том третий. Графиня фон Мален,https://www.litres.ru/book/boris-konofalskiy/inkvizitor-bashmaki-na-flagah-tom-tretiy-grafinya-fon-ma-66048322/
Убийца возвращается дважды,https://www.litres.ru/book/anna-knyazeva/ubiyca-vozvraschaetsya-dvazhdy-65717557/
Фастфуд,https://www.litres.ru/book/artem-kamenistyy/fastfud-64504007/
Империя драконов. Темный эфир,https://www.litres.ru/book/anna-tereshkova-13021853/imperiya-drakonov-temnyy-efir-61216653/
Тайник,https://www.litres.ru/book/mariya-kartasheva/taynik-57400492/
Призванная для Дракона,https://www.litres.ru/book/alina-uglickaya-15730401/prizvannaya-dlya-drakona-48774674/
Янтарь чужих воспоминаний,https://www.litres.ru/book/marina-surzhevskaya-22364624/yantar-chuzhih-vospominaniy-48620933/
Звезд не хватит на всех,https://www.litres.ru/book/maks-alekseevich-glebov/zvezd-ne-hvatit-na-vseh-41897725/
Плотность огня,https://www.litres.ru/book/maks-alekseevich-glebov/plotnost-ognya-38499834/
Убийство со вкусом трюфелей,https://www.litres.ru/book/uliya-evdokimova/ubiystvo-so-vkusom-trufeley-37988616/
Level Up 3. Испытание,https://www.litres.ru/book/daniyar-sugralinov/level-up-3-ispytanie-36314855/
Level Up 2. Герой,https://www.litres.ru/book/daniyar-sugralinov/level-up-2-geroy-29427611/
Дорога к рыцарству,https://www.litres.ru/book/mihail-aleksandrovich-atamanov/doroga-k-rycarstvu-18395015/
Нефритовые четки,https://www.litres.ru/book/boris-akunin/nefritovye-chetki-141007/
Жена на замену: Мой огненный лорд,https://www.litres.ru/audiobook/natalya-mamleeva/zhena-na-zamenu-moy-ognennyy-lord-64036511/
Япония. История и культура: от самураев до манги. Часть 1,https://www.litres.ru/audiobook/nancy-k-stalker/yaponiya-istoriya-i-kultura-ot-samuraev-do-mangi-chast-1-62083228/
Семейные разборки,https://www.litres.ru/book/evgeniy-pryadeev/semeynye-razborki-57528284/
Змеиный гаджет,https://www.litres.ru/book/darya-doncova/zmeinyy-gadzhet-44218900/
Пасынок удачи,https://www.litres.ru/book/vladimir-aleksandrovich-suhinin/pasynok-udachi-42349139/
День числа Пи,https://www.litres.ru/book/nina-dashevskaya/den-chisla-pi-36980163/
След порока,https://www.litres.ru/book/bleyk-pirs/sled-poroka-33172097/
Книга Балтиморов,https://www.litres.ru/book/zhoel-dikker/kniga-baltimorov-25148021/
Вижу вас насквозь. Как «читать» людей,https://www.litres.ru/book/evgeniy-spirica/vizhu-vas-naskvoz-kak-chitat-ludey-21570237/
Часовая битва,https://www.litres.ru/book/natalya-scherba/chasovaya-bitva-8895647/
Правда о деле Гарри Квеберта,https://www.litres.ru/book/zhoel-dikker/pravda-o-dele-garri-kveberta-6567327/
Манипулирование и защита от манипуляций,https://www.litres.ru/book/viktor-sheynov/manipulirovanie-i-zaschita-ot-manipulyaciy-6523309/
Часовое сердце,https://www.litres.ru/book/natalya-scherba/chasovoe-serdce-2691315/
Черновик,https://www.litres.ru/book/sergey-lukyanenko/chernovik-128084/
Крещение огнем,https://www.litres.ru/book/andzhey-sapkovskiy/kreschenie-ognem-122544/
Осень патриарха,https://www.litres.ru/book/gabriel-garsia-markes-44998/osen-patriarha-68656641/
И опять Пожарский,https://www.litres.ru/book/andrey-gotlibovich-shoppert/i-opyat-pozharskiy-68448112/
Император из стали. Стальная империя,https://www.litres.ru/book/sergey-vasilev-21543901/imperator-iz-stali-stalnaya-imperiya-67877897/
Истории про Алису Селезнёву,https://www.litres.ru/audiobook/kir-bulychev/istorii-pro-alisu-seleznevu-64061341/
Таро Уэйта. Большая книга символов. Подробный разбор каждой карты. Понятный самоучитель,https://www.litres.ru/book/martin-vels/taro-ueyta-bolshaya-kniga-simvolov-podrobnyy-razbor-kazhdoy-ka-63472657/
"Что скрывает кожа. 2 квадратных метра, которые диктуют, как нам жить",https://www.litres.ru/book/yael-adler/chto-skryvaet-kozha-2-kvadratnyh-metra-kotorye-diktuut-kak-nam-24155432/
Защита Лужина,https://www.litres.ru/book/vladimir-nabokov/zaschita-luzhina-140652/
Антимаг. Древние,https://www.litres.ru/book/aleksandr-i-evgeniya-gedeon/atimag-drevnie-69240697/
Мастеровой,https://www.litres.ru/book/anatoliy-drozdov/masterovoy-67962954/
Рейтинг-ноль,https://www.litres.ru/book/artem-kamenistyy/reyting-nol-67551656/
Экстремальная археология,https://www.litres.ru/book/artem-kamenistyy/ekstremalnaya-arheologiya-65396587/
Пистоль и шпага,https://www.litres.ru/book/anatoliy-drozdov/pistol-i-shpaga-65068372/
Лейб-хирург,https://www.litres.ru/book/anatoliy-drozdov/leyb-hirurg-54028169/
Вторые,https://www.litres.ru/book/vlad-ley-32542360/vtorye-69271966/
Прости меня,https://www.litres.ru/book/kris-gofman-32355301/prosti-menya-69243022/
Чертоги разума. Убей в себе идиота!,https://www.litres.ru/audiobook/andrey-kurpatov/chertogi-razuma-ubey-v-sebe-idiota-40146370/
Записки примата: Необычайная жизнь ученого среди павианов,https://www.litres.ru/audiobook/robert-sapolski/zapiski-primata-neobychaynaya-zhizn-uchenogo-sredi-paviano-39429898/
Новые правила деловой переписки,https://www.litres.ru/book/maksim-ilyahov/novye-pravila-delovoy-perepiski-36633614/
Тонкое искусство пофигизма. Парадоксальный способ жить счастливо,https://www.litres.ru/audiobook/mark-menson/tonkoe-iskusstvo-pofigizma-paradoksalnyy-sposob-zhit-schastliv-34338895/
Сотворение Земли. Как живые организмы создали наш мир,https://www.litres.ru/book/andrey-zhuravlev/sotvorenie-zemli-kak-zhivye-organizmy-sozdali-nash-mir-34113273/
Memo: Секреты создания структуры и персонажей в сценарии,https://www.litres.ru/book/kristofer-vogler/memo-sekrety-sozdaniya-struktury-i-personazhey-v-scenarii-32543345/
Выживание по методике спецслужб. 100 ключевых навыков,https://www.litres.ru/book/klint-emerson/vyzhivanie-po-metodike-specsluzhb-100-kluchevyh-navykov-31513447/
Эрик,https://www.litres.ru/audiobook/terri-pratchett/erik-25385299/
Безумная звезда,https://www.litres.ru/audiobook/terri-pratchett/bezumnaya-zvezda-25014268/
Беспокойный ум. Моя победа над биполярным расстройством,https://www.litres.ru/book/key-dzheymison/bespokoynyy-um-moya-pobeda-nad-bipolyarnym-rasstroystvom-23113913/
Конструирование языков: От эсперанто до дотракийского,https://www.litres.ru/book/aleksandr-piperski/konstruirovanie-yazykov-ot-esperanto-do-dotrakiyskogo-22153957/
Десять главных правил для начинающего инвестора,https://www.litres.ru/book/berton-malkiel/desyat-glavnyh-pravil-dlya-nachinauschego-investora-21539816/
"Отказываюсь выбирать! Как использовать свои интересы, увлечения и хобби, чтобы построить жизнь и карьеру своей...",https://www.litres.ru/book/barbara-sher/otkazyvaus-vybirat-kak-ispolzovat-svoi-interesy-uvlecheniya-i-11995881/
Планета Вода (технократический детектив),https://www.litres.ru/audiobook/boris-akunin/planeta-voda-tehnokraticheskiy-detektiv-9368207/
Развитие памяти по методикам спецслужб,https://www.litres.ru/book/denis-bukin/razvitie-pamyati-po-metodikam-specsluzhb-8491157/
